quantity_added,date
11,2021-03-26
2,2021-03-28
1,2021-03-29
3,2021-03-30
5,2021-03-31
32,2021-04-01
11,2021-04-02
1,2021-04-03
2,2021-04-04
2,2021-04-05
1,2021-04-06
4,2021-04-07
2,2021-04-08
6,2021-04-09
1,2021-04-10
1,2021-04-11
2,2021-04-12
9,2021-04-13
15,2021-04-14
18,2021-04-15
15,2021-04-16
8,2021-04-17
4,2021-04-19
7,2021-04-20
3,2021-04-21
5,2021-04-22
20,2021-04-23
2,2021-04-24
5,2021-04-27
3,2021-04-28
2,2021-04-29
7,2021-04-30
33,2021-05-01
4,2021-05-04
3,2021-05-05
2,2021-05-06
9,2021-05-07
2,2021-05-08
2,2021-05-09
1,2021-05-10
3,2021-05-11
4,2021-05-12
4,2021-05-13
14,2021-05-14
3,2021-05-15
1,2021-05-16
2,2021-05-18
5,2021-05-19
7,2021-05-20
8,2021-05-21
1,2021-05-22
1,2021-05-23
1,2021-05-24
2,2021-05-25
5,2021-05-26
7,2021-05-27
5,2021-05-28
1,2021-05-29
1,2021-05-30
1,2021-05-31
51,2021-06-02
8,2021-06-03
9,2021-06-04
3,2021-06-05
1,2021-06-06
1,2021-06-07
1,2021-06-08
5,2021-06-09
6,2021-06-10
7,2021-06-11
4,2021-06-12
3,2021-06-13
1,2021-06-14
12,2021-06-15
9,2021-06-16
11,2021-06-17
10,2021-06-18
24,2021-06-19
1,2021-06-20
4,2021-06-21
5,2021-06-22
5,2021-06-23
5,2021-06-24
4,2021-06-25
2,2021-06-26
4,2021-06-28
1,2021-06-29
10,2021-06-30
60,2021-07-01
9,2021-07-02
1,2021-07-03
1,2021-07-04
39,2021-07-06
13,2021-07-07
6,2021-07-08
12,2021-07-09
3,2021-07-10
1,2021-07-12
4,2021-07-13
6,2021-07-14
11,2021-07-15
14,2021-07-16
1,2021-07-17
1,2021-07-19
3,2021-07-20
4,2021-07-21
25,2021-07-22
11,2021-07-23
1,2021-07-24
2,2021-07-26
8,2021-07-27
5,2021-07-28
3,2021-07-29
10,2021-07-30
3,2021-07-31
38,2021-08-01
10,2021-08-03
7,2021-08-04
5,2021-08-05
5,2021-08-06
2,2021-08-07
2,2021-08-08
1,2021-08-09
5,2021-08-10
6,2021-08-11
3,2021-08-12
7,2021-08-13
5,2021-08-15
2,2021-08-16
11,2021-08-18
2,2021-08-19
8,2021-08-20
1,2021-08-21
5,2021-08-23
3,2021-08-24
12,2021-08-25
2,2021-08-26
27,2021-08-27
4,2021-08-28
2,2021-08-29
3,2021-08-31
56,2021-09-01
14,2021-09-02
5,2021-09-03
1,2021-09-04
2,2021-09-05
3,2021-09-06
6,2021-09-07
4,2021-09-08
4,2021-09-09
8,2021-09-10
3,2021-09-11
6,2021-09-14
22,2021-09-15
12,2021-09-16
7,2021-09-17
2,2021-09-19
1,2021-09-20
5,2021-09-21
9,2021-09-22
2,2021-09-23
10,2021-09-24
1,2021-09-25
